60560,VL2,4
74461,VL2,7
58803,VL2,3
67614,VL2,3
69637,VL2,4
56764,VL2,4
70315,VL2,3
67598,VL2,6
74096,VL2,0
58574,VL2,4
70299,VL2,3
74446,VL2,3
70284,VL2,3
64152,VL2,8
74104,VL2,7
67576,VL2,4
70269,VL2,3
64136,VL2,6
64121,VL2,3
67773,VL2,6
67636,VL2,3
60712,VL2,3
74469,VL2,4
64106,VL2,5
74439,VL2,3
56239,VL2,3
74454,VL2,2
60484,VL2,3
70261,VL2,2
66891,VL2,1
60454,VL2,8
73944,REL,9
62569,REL,9
62272,CMC,7
62287,CMC,5
62402,CMC,6
62409,CMC,6
74005,CMC,9
62287,M1,2
62607,CMC,7
60690,CMC,4
74012,CMC,2
74020,CMC,7
62265,CMC,8
62249,CMC,6
62257,CMC,7
60492,CMC,6
74028,CMC,6
64905,CMC,2
62333,CMC,7
64030,CMC,6
74948,CMC,4
62303,CMC,9
74416,CMC,3
62447,CMC,7
64076,CMC,7
74035,CMC,8
64045,CMC,9
74043,CMC,4
62569,CMC,7
62295,CMC,9
74431,CMC,7
62272,M1,7
62478,CMC,6
62485,CMC,8
62622,CMC,5
56535,CMC,2
62508,CMC,7
74423,CMC,4
62523,CMC,3
64958,CMC,6
62523,TC1_2,3
62508,TC1_2,4
56535,TC1_2,0
62478,TC1_2,8
74431,TC1_2,5
62295,TC1_2,8
64076,TC1_2,7
62447,TC1_2,7
74416,TC1_2,5
62303,TC1_2,9
64030,TC1_2,7
62333,TC1_2,8
62257,TC1_2,7
62249,TC1_2,6
62265,TC1_2,10
74012,TC1_2,3
62287,TC1_2,6
62272,TC1_2,8
70322,MCS_1,2
60477,MCS_1,1
74401,MCS_1,0
62516,MCS_1,3
62356,MCS_1,7
75253,MCS_1,4
64037,MCS_1,5
73236,MCS_1,2
75123,MCS_1,0
74918,MCS_1,1
64053,MCS_1,5
64060,MCS_1,7
70330,MCS_1,2
73914,MCS_1,2
62949,MCS_1,3
68846,MCS_1,4
62539,MCS_1,5
74903,MCS_1,3
74408,MCS_1,2
73906,MCS_1,3
62318,MCS_1,3
74910,MCS_1,1
73898,MCS_1,5
60674,BIO,5
64091,BIO,8
64114,BIO,8
60606,BIO,4
61953,BIO,5
67408,BIO,7
74880,BIO,2
64989,BIO,1
60431,BIO,5
74477,BIO,2
64091,CTM,10
60606,CTM,7
61953,CTM,6
67408,CTM,9
64989,CTM,6
60431,CTM,7
62310,REL,6
74005,REL,9
60431,QUI,5
64989,QUI,3
74880,QUI,5
67408,QUI,7
61953,QUI,7
60606,QUI,6
64114,QUI,9
60674,QUI,5
64958,VL1,5
62523,VL1,1
74423,VL1,3
62508,VL1,7
56535,VL1,0
62622,VL1,5
62485,VL1,6
62478,VL1,8
60416,VL1,0
62295,VL1,8
62569,VL1,6
74043,VL1,2
64045,VL1,8
74035,VL1,8
64076,VL1,4
62447,VL1,7
74416,VL1,3
62303,VL1,5
74948,VL1,2
64030,VL1,1
62333,VL1,8
64905,VL1,0
74028,VL1,5
60492,VL1,6
62257,VL1,6
62249,VL1,7
62265,VL1,9
74020,VL1,5
74012,VL1,2
60690,VL1,1
62607,VL1,6
62402,M1,7
74005,VL1,5
62409,VL1,6
62402,VL1,7
62287,VL1,5
62272,VL1,8
73959,VL1,1
74302,VL1,1
74324,VL1,0
74309,VL1,0
74941,VL1,1
73997,VL1,5
